Date,^AXJO
2017-02-08,5664.60009765625
2017-02-09,5720.60009765625
2017-02-12,5760.7001953125
2017-02-13,5755.2001953125
2017-02-14,5809.10009765625
2017-02-15,5816.2998046875
2017-02-16,5805.7998046875
2017-02-19,5795.10009765625
2017-02-20,5791.0
2017-02-21,5805.10009765625
2017-02-22,5784.7001953125
2017-02-23,5739.0
2017-02-26,5724.2001953125
2017-02-27,5712.2001953125
2017-02-28,5704.7998046875
2017-03-01,5776.60009765625
2017-03-02,5729.60009765625
2017-03-05,5746.5
2017-03-06,5761.39990234375
2017-03-07,5759.7001953125
2017-03-08,5741.2001953125
2017-03-09,5775.60009765625
2017-03-12,5757.2998046875
2017-03-13,5759.10009765625
2017-03-14,5774.0
2017-03-15,5785.7998046875
2017-03-16,5799.60009765625
2017-03-19,5778.89990234375
2017-03-20,5774.60009765625
2017-03-21,5684.5
2017-03-22,5708.0
2017-03-23,5753.5
2017-03-26,5746.7001953125
2017-03-27,5821.2001953125
2017-03-28,5873.5
2017-03-29,5896.2001953125
2017-03-30,5864.89990234375
2017-04-03,5872.7001953125
2017-04-04,5856.60009765625
2017-04-05,5876.2001953125
2017-04-06,5856.2998046875
2017-04-07,5862.5
2017-04-10,5912.89990234375
2017-04-11,5929.2998046875
2017-04-12,5934.0
2017-04-13,5889.89990234375
2017-04-18,5836.7001953125
2017-04-19,5804.0
2017-04-20,5821.39990234375
2017-04-21,5854.10009765625
2017-04-24,5871.7998046875
2017-04-26,5912.0
2017-04-27,5921.5
2017-04-28,5924.10009765625
2017-05-01,5956.39990234375
2017-05-02,5950.39990234375
2017-05-03,5892.2998046875
2017-05-04,5876.39990234375
2017-05-05,5836.60009765625
2017-05-08,5870.89990234375
2017-05-09,5839.89990234375
2017-05-10,5875.39990234375
2017-05-11,5878.2998046875
2017-05-12,5836.89990234375
2017-05-15,5838.39990234375
2017-05-16,5850.5
2017-05-17,5786.0
2017-05-18,5738.2998046875
2017-05-19,5727.39990234375
2017-05-22,5771.2001953125
2017-05-23,5760.2001953125
2017-05-24,5769.0
2017-05-25,5789.60009765625
2017-05-26,5751.7001953125
2017-05-29,5707.10009765625
2017-05-30,5717.89990234375
2017-05-31,5724.60009765625
2017-06-01,5738.10009765625
2017-06-02,5788.10009765625
2017-06-05,5754.89990234375
2017-06-06,5667.5
2017-06-07,5667.2001953125
2017-06-08,5676.60009765625
2017-06-09,5677.7998046875
2017-06-13,5772.7998046875
2017-06-14,5833.89990234375
2017-06-15,5763.2001953125
2017-06-16,5774.0
2017-06-19,5805.2001953125
2017-06-20,5757.2998046875
2017-06-21,5665.7001953125
2017-06-22,5706.0
2017-06-23,5715.89990234375
2017-06-26,5720.2001953125
2017-06-27,5714.2001953125
2017-06-28,5755.7001953125
2017-06-29,5818.10009765625
2017-06-30,5721.5
2017-07-03,5684.5
2017-07-04,5783.7998046875
2017-07-05,5763.2998046875
2017-07-06,5758.7998046875
2017-07-07,5703.60009765625
2017-07-10,5724.39990234375
2017-07-11,5728.89990234375
2017-07-12,5673.7998046875
2017-07-13,5736.7998046875
2017-07-14,5765.10009765625
2017-07-17,5755.5
2017-07-18,5687.39990234375
2017-07-19,5732.10009765625
2017-07-20,5761.5
2017-07-21,5722.7998046875
2017-07-24,5688.10009765625
2017-07-25,5726.60009765625
2017-07-26,5776.60009765625
2017-07-27,5785.0
2017-07-28,5702.7998046875
2017-07-31,5720.60009765625
2017-08-01,5772.39990234375
2017-08-02,5744.2001953125
2017-08-03,5735.10009765625
2017-08-04,5720.60009765625
2017-08-07,5773.60009765625
2017-08-08,5743.7998046875
2017-08-09,5765.7001953125
2017-08-10,5760.89990234375
2017-08-11,5693.10009765625
2017-08-14,5730.39990234375
2017-08-15,5757.5
2017-08-16,5785.10009765625
2017-08-17,5779.2001953125
2017-08-18,5747.10009765625
2017-08-21,5725.89990234375
2017-08-22,5750.10009765625
2017-08-23,5737.2001953125
2017-08-24,5745.5
2017-08-25,5743.89990234375
2017-08-28,5709.89990234375
2017-08-29,5669.0
2017-08-30,5669.7001953125
2017-08-31,5714.5
2017-09-01,5724.60009765625
2017-09-05,5706.2001953125
2017-09-06,5689.7001953125
2017-09-07,5689.89990234375
2017-09-08,5672.60009765625
2017-09-11,5713.10009765625
2017-09-12,5746.39990234375
2017-09-13,5744.2998046875
2017-09-14,5738.7001953125
2017-09-15,5695.0
2017-09-18,5720.60009765625
2017-09-19,5713.60009765625
2017-09-20,5709.10009765625
2017-09-21,5655.39990234375
2017-09-22,5682.10009765625
2017-09-25,5683.7001953125
2017-09-26,5671.0
2017-09-27,5664.2998046875
2017-09-28,5670.39990234375
2017-09-29,5681.60009765625
2017-10-01,5729.2998046875
2017-10-02,5701.39990234375
2017-10-03,5652.10009765625
2017-10-04,5651.7998046875
2017-10-05,5710.7001953125
2017-10-08,5739.2998046875
2017-10-09,5738.10009765625
2017-10-10,5772.10009765625
2017-10-11,5794.5
2017-10-12,5814.2001953125
2017-10-15,5846.7998046875
2017-10-16,5889.60009765625
2017-10-17,5890.5
2017-10-18,5896.10009765625
2017-10-19,5907.0
2017-10-22,5894.0
2017-10-23,5897.60009765625
2017-10-24,5905.60009765625
2017-10-25,5916.2998046875
2017-10-26,5903.2001953125
2017-10-29,5919.10009765625
2017-10-30,5909.0
2017-10-31,5937.7998046875
2017-11-01,5931.7001953125
2017-11-02,5959.89990234375
2017-11-05,5953.7998046875
2017-11-06,6014.2998046875
2017-11-07,6016.2998046875
2017-11-08,6049.39990234375
2017-11-09,6029.39990234375
2017-11-12,6021.7998046875
2017-11-13,5966.0
2017-11-14,5934.2001953125
2017-11-15,5943.5
2017-11-16,5957.2998046875
2017-11-19,5945.7001953125
2017-11-20,5963.5
2017-11-21,5986.39990234375
2017-11-22,5960.60009765625
2017-11-23,5982.60009765625
2017-11-26,5988.7998046875
2017-11-27,5984.2998046875
2017-11-28,6011.10009765625
2017-11-29,5969.89990234375
2017-11-30,5989.7998046875
2017-12-03,5985.60009765625
2017-12-04,5971.7001953125
2017-12-05,5946.10009765625
2017-12-06,5977.7001953125
2017-12-07,5994.39990234375
2017-12-10,5998.2998046875
2017-12-11,6013.2001953125
2017-12-12,6021.7998046875
2017-12-13,6011.2998046875
2017-12-14,5997.0
2017-12-17,6038.89990234375
2017-12-18,6071.7998046875
2017-12-19,6075.60009765625
2017-12-20,6060.39990234375
2017-12-21,6069.7001953125
2017-12-26,6069.89990234375
2017-12-27,6088.10009765625
2017-12-28,6065.10009765625
2018-01-01,6061.2998046875
2018-01-02,6070.39990234375
2018-01-03,6077.10009765625
2018-01-04,6122.2998046875
2018-01-07,6130.39990234375
2018-01-08,6135.7998046875
2018-01-09,6096.7001953125
2018-01-10,6067.60009765625
2018-01-11,6070.10009765625
2018-01-14,6077.10009765625
2018-01-15,6048.60009765625
2018-01-16,6015.7998046875
2018-01-17,6014.60009765625
2018-01-18,6005.7998046875
